Titular,Partido,Gobierno,Militar,regime,Categoría,start,end
Jorge del Castillo Gálvez,Partido Aprista Peruano,Alan García,0.0,constitutional,RENUNCIA_FORZADA,2006-07-28,2008-10-10
Yehude Simon Munaro,Partido Humanista Peruano,Alan García,0.0,constitutional,RENUNCIA_FORZADA,2008-10-14,2009-07-11
Javier Velásquez Quesquén,Partido Aprista Peruano,Alan García,0.0,constitutional,RENUNCIA_VOLUNTARIA,2009-07-11,2010-09-13
José Antonio Chang Escobedo,Independiente,Alan García,0.0,constitutional,CAMBIO_GABINETE,2010-09-14,2011-03-18
Rosario Fernández Figueroa,Independiente,Alan García,0.0,constitutional,FIN_GOBIERNO,2011-03-19,2011-07-28
Salomón Lerner Ghitis,Independiente,Ollanta Humala,0.0,constitutional,RENUNCIA_FORZADA,2011-07-28,2011-12-10
Óscar Valdés Dancuart,Independiente,Ollanta Humala,1.0,constitutional,RENUNCIA_FORZADA,2011-12-10,2012-07-23
Juan Jiménez Mayor,Independiente,Ollanta Humala,0.0,constitutional,RENUNCIA_FORZADA,2012-07-23,2013-10-29
César Villanueva Arévalo,Independiente,Ollanta Humala,0.0,constitutional,RENUNCIA_VOLUNTARIA,2013-10-31,2014-02-24
René Cornejo Díaz,Independiente,Ollanta Humala,0.0,constitutional,RENUNCIA_VOLUNTARIA,2014-02-24,2014-07-22
Ana Jara Velásquez,Partido Nacionalista Peruano,Ollanta Humala,0.0,constitutional,CENSURA_CONGRESO,2014-07-22,2015-04-02
